title,summary,link,published,source
Venice AI becomes a unicorn with $65M Series A as its privacy-first AI platform takes off,"Venice AI is already profitable, with annualized run-rate revenues of over $70 million, CEO Erik Voorhees said.",https://techcrunch.com/2026/07/01/venice-ai-becomes-a-unicorn-with-65m-series-a-as-its-privacy-first-ai-platform-takes-off/,"Wed, 01 Jul 2026 14:25:23 +0000",AI News & Artificial Intelligence | TechCrunch
"Gemini Spark, Google’s agentic assistant, is now available on Mac","Google's 24/7 agentic assistant, Gemini Spark, comes to Mac alongside other improvements, like real-time tracking and support for more apps.",https://techcrunch.com/2026/07/01/gemini-spark-googles-agentic-assistant-is-now-available-on-mac/,"Wed, 01 Jul 2026 14:20:19 +0000",AI News & Artificial Intelligence | TechCrunch
Builders Stage agenda revealed: Practical strategies for scaling startups at TechCrunch Disrupt 2026,"The Builders Stage is returning to TechCrunch Disrupt 2026, bringing together 10,000+ founders, startup operators, and investors for practical conversations. and Q&#038;A on what it takes to build and scale successful companies. Register now to save up to $330.",https://techcrunch.com/2026/07/01/builders-stage-agenda-revealed-practical-strategies-for-scaling-startups-at-techcrunch-disrupt-2026/,"Wed, 01 Jul 2026 14:00:00 +0000",AI News & Artificial Intelligence | TechCrunch
"Meta, like SpaceX, looks to turn excess AI compute into cash","Meta is developing plans for a cloud infrastructure business, selling access to AI compute power and models. The move would pit it against the big cloud providers like Amazon Web Services, Google Cloud, and Microsoft Azure.",https://techcrunch.com/2026/07/01/meta-like-spacex-looks-to-turn-excess-ai-compute-into-cash/,"Wed, 01 Jul 2026 13:43:07 +0000",AI News & Artificial Intelligence | TechCrunch
The ‘Father of the Internet’ is finally retiring,"Vinton Cerf, one of the creators of the protocols underlying the internet, will step down as Google's chief internet evangelist next week.",https://techcrunch.com/2026/06/30/the-father-of-the-internet-is-finally-retiring/,"Wed, 01 Jul 2026 03:15:37 +0000",AI News & Artificial Intelligence | TechCrunch
Trump drops restrictions on Anthropic’s Mythos and Fable models,The Trump administration's erratic approach to AI policymaking has left companies across the industry with little clarity about what will govern future model releases.,https://techcrunch.com/2026/06/30/trump-drops-restrictions-on-anthropics-mythos-and-fable-models/,"Wed, 01 Jul 2026 02:16:06 +0000",AI News & Artificial Intelligence | TechCrunch
Wayve launches $85M employee tender offer at $8.5B valuation,Wayve’s offering is part of a growing trend of AI startups using employee tenders as a strategic tool to attract and retain talent.,https://techcrunch.com/2026/06/30/wayve-launches-85m-employee-tender-offer-at-8-5b-valuation/,"Wed, 01 Jul 2026 02:04:40 +0000",AI News & Artificial Intelligence | TechCrunch
OpenClaw is finally available on Android and iOS,The free open source agentic program is finally invading your phone.,https://techcrunch.com/2026/06/30/openclaw-is-finally-available-on-android-and-ios/,"Tue, 30 Jun 2026 21:53:28 +0000",AI News & Artificial Intelligence | TechCrunch
The DeepMind trio who built a poker AI are now making money for quant hedge funds,"EquiLibre Technologies, a Prague-based AI lab founded by three ex-DeepMind researchers, is now valued at more than $500 million.",https://techcrunch.com/2026/06/30/the-deepmind-trio-who-built-a-poker-ai-are-now-making-money-for-quant-hedge-funds/,"Tue, 30 Jun 2026 20:33:48 +0000",AI News & Artificial Intelligence | TechCrunch
"Google introduces a faster, cheaper image generator with Nano Banana 2 Lite","Google is updating its image generator to make it faster and cheaper, making it a more useful tool for creators looking to make AI content.",https://techcrunch.com/2026/06/30/google-introduces-a-faster-cheaper-image-generator-with-nano-banana-2-lite/,"Tue, 30 Jun 2026 19:02:38 +0000",AI News & Artificial Intelligence | TechCrunch
"Nvidia competitor Etched hits $5B valuation, $1B in sales for AI chip",Nvidia AI chip competitor Etched says it has already booked $1 billion under contract for the inference systems powered by its chip.,https://techcrunch.com/2026/06/30/nvidia-competitor-etched-hits-5b-valuation-1b-in-sales-for-ai-chip/,"Tue, 30 Jun 2026 18:13:02 +0000",AI News & Artificial Intelligence | TechCrunch
Anthropic launches Claude Sonnet 5 as a cheaper way to run agents,"Anthropic’s Claude Sonnet 5 brings stronger agentic capabilities, lower pricing, and improved safety, positioning the model as a cheaper alternative to Opus, GPT-5.5, and Gemini Pro.",https://techcrunch.com/2026/06/30/anthropic-launches-claude-sonnet-5-as-a-cheaper-way-to-run-agents/,"Tue, 30 Jun 2026 18:00:00 +0000",AI News & Artificial Intelligence | TechCrunch
Acti puts AI agents directly into your smartphone keyboard,Acti is betting the smartphone keyboard is the next home for AI assistants. The startup's new keyboard for iOS and Android works across apps and lets users create custom AI-powered shortcuts using natural language.,https://techcrunch.com/2026/06/30/acti-puts-ai-agents-directly-into-your-smartphone-keyboard/,"Tue, 30 Jun 2026 17:52:46 +0000",AI News & Artificial Intelligence | TechCrunch
New York City educators and industry leaders gathered at Google’s offices to shape the future of AI in classrooms.,"<img src=""https://storage.googleapis.com/gweb-uniblog-publish-prod/images/Summit_Photo_1.max-600x600.format-webp.webp"" />Google, the New York Jobs CEO Council and Urban Assembly hosted an AI summit for 150 education and industry leaders.",https://blog.google/products-and-platforms/products/education/nyc-ai-summit/,"Wed, 01 Jul 2026 16:00:00 +0000",AI
